seg	tick	x	y	z	vx	vy	vz	fx	fy	fz	ux	uy	uz	avx	avy	avz	ground	boost
land_flat_drop	0	0	0	299.95	0	0	-5.411	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	2	0	0	299.72	0	0	-16.231	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	4	0	0	299.31	0	0	-27.051	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	6	0	0	298.72	0	0	-37.871	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	8	0	0	297.95	0	0	-48.691	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	10	0	0	297	0	0	-59.511	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	12	0	0	295.87	0	0	-70.331	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	14	0	0	294.56	0	0	-81.151	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	16	0	0	293.07	0	0	-91.971	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	18	0	0	291.4	0	0	-102.791	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	20	0	0	288.56	0	0	-119.021	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	23	0	0	286.44	0	0	-129.841	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	25	0	0	284.14	0	0	-140.661	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	27	0	0	281.66	0	0	-151.481	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	29	0	0	279	0	0	-162.301	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	31	0	0	276.16	0	0	-173.121	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	33	0	0	273.14	0	0	-183.941	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	35	0	0	269.94	0	0	-194.761	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	37	0	0	266.56	0	0	-205.581	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	39	0	0	263	0	0	-216.401	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	41	0	0	259.26	0	0	-227.221	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	43	0	0	255.34	0	0	-238.041	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	45	0	0	251.24	0	0	-248.861	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	47	0	0	246.96	0	0	-259.681	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	49	0	0	242.5	0	0	-270.501	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	51	0	0	237.86	0	0	-281.321	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	53	0	0	233.04	0	0	-292.141	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	55	0	0	228.04	0	0	-302.961	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	57	0	0	222.86	0	0	-313.781	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	59	0	0	217.49	0	0	-324.601	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	61	0	0	211.94	0	0	-335.421	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	63	0	0	206.21	0	0	-346.241	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	65	0	0	200.3	0	0	-357.061	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	67	0	0	194.21	0	0	-367.881	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	69	0	0	187.94	0	0	-378.701	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	71	0	0	181.49	0	0	-389.521	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	73	0	0	174.86	0	0	-400.341	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	75	0	0	168.05	0	0	-411.161	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	77	0	0	161.06	0	0	-421.981	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	79	0	0	153.89	0	0	-432.801	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	81	0	0	146.54	0	0	-443.621	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	83	0	0	139.01	0	0	-454.441	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	85	0	0	131.3	0	0	-465.261	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	87	0	0	123.41	0	0	-476.081	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	89	0	0	115.34	0	0	-486.901	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	91	0	0	107.09	0	0	-497.721	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	93	0	0	98.66	0	0	-508.541	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	95	0	0	90.05	0	0	-519.361	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	97	0	0	81.26	0	0	-530.181	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	99	0	0	72.29	0	0	-541.001	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	101	0	0	63.14	0	0	-551.821	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	103	0	0	53.81	0	0	-562.641	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	105	0	0	44.3	0	0	-573.461	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	107	0	0	34.61	0	0	-584.281	1	0	0	-0	0	1	0	0	0	0	100
land_flat_drop	109	0	0	25.39	0	0	-516.911	1	0	-0.000383495	0.000383495	0	1	0	0.05081	0	1	100
land_flat_drop	111	0.03	0	18.6	1.931	0	-370.931	0.999998	0	-0.00201335	0.00201335	0	0.999998	0	0.10901	0	1	100
land_flat_drop	113	0.07	0	14.9	1.931	0	-143.661	0.999998	0	-0.00201335	0.00201335	0	0.999998	0	-0.12771	0	1	100
